Dataset,Algorithm,Training Time,inertia,homo,compl,v-meas,ARI,AMI,silhouette
letter,k-means++ 2,0.23399996757507324,1.9842939974044653,1.0,1.0,1.0,1.0,1.0,0.19635731255459085,1.9842939974044551
letter,k-means++ 3,0.4160001277923584,1.7812657931412583,1.0,1.0,1.0,1.0,1.0,0.1402075256221347,1.7812657931412688
letter,k-means++ 4,0.6970000267028809,1.6407756743806958,1.0,1.0,1.0,1.0,1.0,0.14706133593264564,1.6407756743806969
letter,k-means++ 5,0.9030001163482666,1.5154797455533477,1.0,1.0,1.0,1.0,1.0,0.15100369549535106,1.5154797455533449
letter,k-means++ 6,0.9490001201629639,1.4328469959070591,1.0,1.0,1.0,1.0,1.0,0.14967018417928182,1.4328469959070564
letter,k-means++ 7,1.315000057220459,1.3546744120134055,1.0,1.0,1.0,1.0,1.0,0.15617067621436387,1.3546744120134053
letter,k-means++ 8,1.194000005722046,1.2832520247395944,1.0,1.0,1.0,1.0,1.0,0.15085903562833591,1.28325202473959
letter,k-means++ 9,1.7810001373291016,1.2329200099511066,1.0,1.0,1.0,1.0,1.0,0.14287490705140943,1.2329200099511148
letter,k-means++ 10,1.8399999141693115,1.1930912387631756,1.0,1.0,1.0,1.0,1.0,0.14830187806924805,1.1930912387631805
letter,k-means++ 11,2.133000135421753,1.1512974619106984,1.0,1.0,1.0,1.0,1.0,0.15057264424243658,1.151297461910707
letter,k-means++ 12,2.1730000972747803,1.1113966945741676,1.0,1.0,1.0,1.0,1.0,0.14550840804063564,1.111396694574164
letter,k-means++ 13,2.0399999618530273,1.0762555972435528,1.0,1.0,1.0,1.0,1.0,0.15794093211130025,1.0762555972435564
letter,k-means++ 14,2.131999969482422,1.0469125401322281,1.0,1.0,1.0,1.0,1.0,0.14544017145481775,1.0469125401322215
letter,k-means++ 15,2.5470001697540283,1.0204901292419448,1.0,1.0,1.0,1.0,1.0,0.1481755275478539,1.0204901292419422
letter,k-means++ 16,2.7320001125335693,0.99650868727097841,1.0,1.0,1.0,1.0,1.0,0.14751157205613463,0.9965086872709813
letter,k-means++ 17,3.3589999675750732,0.9720869070951712,1.0,1.0,1.0,1.0,1.0,0.15410588429910851,0.97208690709517365
letter,k-means++ 18,3.4260001182556152,0.95415396427889687,1.0,1.0,1.0,1.0,1.0,0.15715800050110942,0.95415396427889809
letter,k-means++ 19,4.156999826431274,0.93836581000805774,1.0,1.0,1.0,1.0,1.0,0.1539272256959032,0.93836581000805253
letter,k-means++ 20,4.33899998664856,0.92012928102926705,1.0,1.0,1.0,1.0,1.0,0.15151190218604685,0.9201292810292665
letter,k-means++ 21,4.630000114440918,0.90964601028867009,1.0,1.0,1.0,1.0,1.0,0.128579014183585,0.90964601028866821
letter,k-means++ 22,4.517000198364258,0.88836413883616694,1.0,1.0,1.0,1.0,1.0,0.14870250798248127,0.88836413883616994
letter,k-means++ 23,4.801000118255615,0.87453374376853099,1.0,1.0,1.0,1.0,1.0,0.14787688691153089,0.87453374376852733
letter,k-means++ 24,4.664000034332275,0.865872042626181,1.0,1.0,1.0,1.0,1.0,0.14737124995385148,0.8658720426261769
letter,k-means++ 25,5.0269999504089355,0.84819672861534623,1.0,1.0,1.0,1.0,1.0,0.1451154744656889,0.84819672861534912
letter,k-means++ 26,5.636999845504761,0.83600585698820429,1.0,1.0,1.0,1.0,1.0,0.14766398225928973,0.83600585698820051
letter,k-means++ 27,6.0929999351501465,0.82677051417137781,1.0,1.0,1.0,1.0,1.0,0.15012744294888519,0.82677051417137948
letter,k-means++ 28,6.323999881744385,0.82036785774850074,1.0,1.0,1.0,1.0,1.0,0.14717701955836401,0.82036785774850629
letter,k-means++ 29,5.206000089645386,0.80560192612649584,1.0,1.0,1.0,1.0,1.0,0.15310980036632957,0.8056019261265005
letter,k-means++ 30,5.801000118255615,0.79462713232956794,1.0,1.0,1.0,1.0,1.0,0.14662196991559823,0.79462713232956717
letter,k-means++ 31,5.973999977111816,0.78627462557044037,1.0,1.0,1.0,1.0,1.0,0.15951676987392066,0.78627462557044114
letter,random 2,0.19000005722045898,1.9842904797303798,1.0,1.0,1.0,1.0,1.0,0.20223234410238156,1.9842904797303822
letter,random 3,0.4679999351501465,1.7812658158354708,1.0,1.0,1.0,1.0,1.0,0.14931132843989894,1.7812658158354653
letter,random 4,0.7619998455047607,1.6407740573117606,1.0,1.0,1.0,1.0,1.0,0.15562931429267035,1.640774057311762
letter,random 5,0.7519998550415039,1.5154802367035343,1.0,1.0,1.0,1.0,1.0,0.15040074100308273,1.5154802367035431
letter,random 6,0.8700001239776611,1.4328495631275215,1.0,1.0,1.0,1.0,1.0,0.14593655651234935,1.432849563127528
letter,random 7,1.3599998950958252,1.3546747877392162,1.0,1.0,1.0,1.0,1.0,0.15267530289140827,1.3546747877392165
letter,random 8,1.3320000171661377,1.2832508010989627,1.0,1.0,1.0,1.0,1.0,0.15285587693565242,1.2832508010989534
letter,random 9,1.4070000648498535,1.2329375822987374,1.0,1.0,1.0,1.0,1.0,0.14735985965393752,1.2329375822987385
letter,random 10,1.8029999732971191,1.1868711442190074,1.0,1.0,1.0,1.0,1.0,0.14702689715266104,1.186871144219007
letter,random 11,2.309999942779541,1.1482224238634802,1.0,1.0,1.0,1.0,1.0,0.14457039770347507,1.1482224238634746
